ncase,sigma,Nsample,r2
1000,0.01,50,0.7289128890858032
1000,0.1,50,0.7066191997459439
1000,1.0,50,0.6363137517484487
10000,0.01,50,0.9518979156502916
10000,0.1,50,0.9587709746093422
10000,1.0,50,0.9277832662294325
100000,0.01,50,0.982340353402627
100000,0.1,50,0.9787073363851442
100000,1.0,50,0.9821592263307981
